Year,Month,Value,Country
2024,Oct,"51,183",India
2024,Sep,"41,375",India
2024,Aug,"32,388",India
2024,Jul,"27,675",India
2024,Jun,"7,499",India
2024,May,"5,145",India
2024,Apr,"3,342",India
2024,Mar,"5,597",India
2024,Feb,"5,429",India
2024,Jan,"5,079",India
2024,Oct,127,Maldives
2024,Sep,178,Maldives
2024,Aug,395,Maldives
2024,Jul,440,Maldives
2024,Jun,627,Maldives
2024,May,675,Maldives
2024,Apr,256,Maldives
2024,Mar,126,Maldives
2024,Feb,120,Maldives
2024,Jan,139,Maldives
2024,Oct,690,Myanmar
2024,Sep,933,Myanmar
2024,Aug,"1,239",Myanmar
2024,Jul,"1,236",Myanmar
2024,Jun,574,Myanmar
2024,May,311,Myanmar
2024,Apr,203,Myanmar
2024,Mar,176,Myanmar
2024,Feb,181,Myanmar
2024,Jan,208,Myanmar
2024,Nov,"4,919",Nepal
2024,Oct,"10,952",Nepal
2024,Sep,"10,621",Nepal
2024,Aug,"5,163",Nepal
2024,Jul,"1,249",Nepal
2024,Jun,377,Nepal
2024,May,277,Nepal
2024,Apr,233,Nepal
2024,Mar,210,Nepal
2024,Jan,254,Nepal
2024,Oct,"1,019",Indonesia
2024,Sep,"8,653",Indonesia
2024,Aug,"12,297",Indonesia
2024,Jul,"17,863",Indonesia
2024,Jun,"23,415",Indonesia
2024,May,"30,115",Indonesia
2024,Apr,"29,247",Indonesia
2024,Mar,"32,091",Indonesia
2024,Feb,"28,886",Indonesia
2024,Jan,"27,058",Indonesia
2024,Nov,"7,006",Thailand
2024,Oct,"8,359",Thailand
2024,Sep,"11,395",Thailand
2024,Aug,"16,119",Thailand
2024,Jul,"15,371",Thailand
2024,Jun,"7,992",Thailand
2024,May,"4,968",Thailand
2024,Apr,"4,327",Thailand
2024,Mar,"5,315",Thailand
2024,Jan,"11,413",Thailand
2024,Oct,"2,944",Sri Lanka
2024,Sep,"2,761",Sri Lanka
2024,Sep,"2,761",Sri Lanka
2024,Jul,"4,513",Sri Lanka
2024,Jul,"4,513",Sri Lanka
2024,Jun,"3,322",Sri Lanka
2024,May,"2,652",Sri Lanka
2024,Apr,"2,235",Sri Lanka
2024,Mar,"3,625",Sri Lanka
2024,Feb,"6,041",Sri Lanka
2024,Oct,39,Timor-Leste
2024,Sep,28,Timor-Leste
2024,Aug,24,Timor-Leste
2024,Jul,30,Timor-Leste
2024,Jun,45,Timor-Leste
2024,May,101,Timor-Leste
2024,Apr,307,Timor-Leste
2024,Mar,347,Timor-Leste
2024,Feb,328,Timor-Leste
2024,Jan,189,Timor-Leste
2024,Nov,"29,652",Bangladesh
2024,Oct,"30,879",Bangladesh
2024,Sep,"18,097",Bangladesh
2024,Aug,"6,521",Bangladesh
2024,Jul,"2,669",Bangladesh
2024,Jun,798,Bangladesh
2024,May,644,Bangladesh
2024,Apr,504,Bangladesh
2024,Mar,311,Bangladesh
2024,Jan,"1,055",Bangladesh
2024,Oct,30,Bhutan
2024,Sep,33,Bhutan
2024,Aug,48,Bhutan
2024,Jul,15,Bhutan
2024,Jun,9,Bhutan
2024,May,3,Bhutan
2024,Apr,10,Bhutan
2024,Mar,5,Bhutan
2024,Feb,0,Bhutan
2024,Jan,3,Bhutan
